,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,0.569,0.702,7,-6.768,1,0.0738,0.285,1.1e-05,0.118,0.429,164.87,audio_features,1DQNVgiwErsbcg4Li7VLGF,spotify:track:1DQNVgiwErsbcg4Li7VLGF,https://api.spotify.com/v1/tracks/1DQNVgiwErsbcg4Li7VLGF,https://api.spotify.com/v1/audio-analysis/1DQNVgiwErsbcg4Li7VLGF,223883,3
21,0.524,0.321,9,-11.452,0,0.032,0.702,0.0,0.124,0.27,85.328,audio_features,46EuzanXhKwIc7755wLAvS,spotify:track:46EuzanXhKwIc7755wLAvS,https://api.spotify.com/v1/tracks/46EuzanXhKwIc7755wLAvS,https://api.spotify.com/v1/audio-analysis/46EuzanXhKwIc7755wLAvS,212373,4
22,0.499,0.5,5,-8.975,0,0.0354,0.702,2.6e-06,0.168,0.371,86.83,audio_features,4tAg6TZwDKBg92Yt7YuLuf,spotify:track:4tAg6TZwDKBg92Yt7YuLuf,https://api.spotify.com/v1/tracks/4tAg6TZwDKBg92Yt7YuLuf,https://api.spotify.com/v1/audio-analysis/4tAg6TZwDKBg92Yt7YuLuf,229173,4
23,0.716,0.341,6,-10.433,1,0.0346,0.917,0.000248,0.0983,0.169,94.86,audio_features,7ypTNbCdGEv55Kjz5TfY8P,spotify:track:7ypTNbCdGEv55Kjz5TfY8P,https://api.spotify.com/v1/tracks/7ypTNbCdGEv55Kjz5TfY8P,https://api.spotify.com/v1/audio-analysis/7ypTNbCdGEv55Kjz5TfY8P,211240,4
24,0.397,0.264,4,-11.396,1,0.029,0.784,0.176,0.113,0.0857,90.771,audio_features,2qVGmHSlfAhGZJifXVNwUI,spotify:track:2qVGmHSlfAhGZJifXVNwUI,https://api.spotify.com/v1/tracks/2qVGmHSlfAhGZJifXVNwUI,https://api.spotify.com/v1/audio-analysis/2qVGmHSlfAhGZJifXVNwUI,238213,4
25,0.523,0.403,0,-10.395,0,0.0276,0.037,0.0,0.23,0.0984,108.976,audio_features,7KIXAzdiG2Pae7spgsklZo,spotify:track:7KIXAzdiG2Pae7spgsklZo,https://api.spotify.com/v1/tracks/7KIXAzdiG2Pae7spgsklZo,https://api.spotify.com/v1/audio-analysis/7KIXAzdiG2Pae7spgsklZo,236493,4
26,0.537,0.315,5,-13.79,1,0.0271,0.588,2.29e-05,0.206,0.575,86.813,audio_features,2Pr1nZpt8A8WP7QYpyq6L3,spotify:track:2Pr1nZpt8A8WP7QYpyq6L3,https://api.spotify.com/v1/tracks/2Pr1nZpt8A8WP7QYpyq6L3,https://api.spotify.com/v1/audio-analysis/2Pr1nZpt8A8WP7QYpyq6L3,190320,4
27,0.595,0.366,1,-14.819,1,0.0299,0.377,0.0,0.122,0.771,108.526,audio_features,0LtliXTRs1Ih2JGi3DW9Ts,spotify:track:0LtliXTRs1Ih2JGi3DW9Ts,https://api.spotify.com/v1/tracks/0LtliXTRs1Ih2JGi3DW9Ts,https://api.spotify.com/v1/audio-analysis/0LtliXTRs1Ih2JGi3DW9Ts,129333,4
28,0.464,0.147,5,-15.002,1,0.0369,0.988,0.00309,0.111,0.117,144.372,audio_features,6WQlGuh6c4jciXEyM2rVGX,spotify:track:6WQlGuh6c4jciXEyM2rVGX,https://api.spotify.com/v1/tracks/6WQlGuh6c4jciXEyM2rVGX,https://api.spotify.com/v1/audio-analysis/6WQlGuh6c4jciXEyM2rVGX,152953,4
29,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,90.186,audio_features,5rwq6R0Uq0BngM3rdmCeNg,spotify:track:5rwq6R0Uq0BngM3rdmCeNg,https://api.spotify.com/v1/tracks/5rwq6R0Uq0BngM3rdmCeNg,https://api.spotify.com/v1/audio-analysis/5rwq6R0Uq0BngM3rdmCeNg,277000,4
30,0.712,0.305,7,-8.299,1,0.04,0.819,0.0,0.115,0.586,125.015,audio_features,3wm0791j8FPkG7RUYljgr8,spotify:track:3wm0791j8FPkG7RUYljgr8,https://api.spotify.com/v1/tracks/3wm0791j8FPkG7RUYljgr8,https://api.spotify.com/v1/audio-analysis/3wm0791j8FPkG7RUYljgr8,210107,4
31,0.739,0.443,1,-13.002,1,0.0266,0.57,0.000895,0.0798,0.502,95.538,audio_features,2aniiMAbFXjyUPPg3wpDpo,spotify:track:2aniiMAbFXjyUPPg3wpDpo,https://api.spotify.com/v1/tracks/2aniiMAbFXjyUPPg3wpDpo,https://api.spotify.com/v1/audio-analysis/2aniiMAbFXjyUPPg3wpDpo,273413,4
32,0.634,0.433,2,-8.018,1,0.0256,0.864,0.00858,0.102,0.268,101.791,audio_features,3HUCTp20rxqMnCtdyU7JgU,spotify:track:3HUCTp20rxqMnCtdyU7JgU,https://api.spotify.com/v1/tracks/3HUCTp20rxqMnCtdyU7JgU,https://api.spotify.com/v1/audio-analysis/3HUCTp20rxqMnCtdyU7JgU,191671,4
33,0.586,0.247,0,-14.831,0,0.0285,0.824,0.0907,0.111,0.189,139.192,audio_features,0IACKZaeCAQFs6EgLZvtZQ,spotify:track:0IACKZaeCAQFs6EgLZvtZQ,https://api.spotify.com/v1/tracks/0IACKZaeCAQFs6EgLZvtZQ,https://api.spotify.com/v1/audio-analysis/0IACKZaeCAQFs6EgLZvtZQ,243507,4
34,0.344,0.524,5,-5.809,1,0.0275,0.244,1.01e-05,0.109,0.22,174.38,audio_features,0yKK9to5WLMT35x8dRU1W5,spotify:track:0yKK9to5WLMT35x8dRU1W5,https://api.spotify.com/v1/tracks/0yKK9to5WLMT35x8dRU1W5,https://api.spotify.com/v1/audio-analysis/0yKK9to5WLMT35x8dRU1W5,190280,4
35,0.617,0.559,2,-7.324,0,0.0305,0.921,0.025,0.115,0.412,109.98,audio_features,5YAhKEMTGMh6SxTSYcUJl6,spotify:track:5YAhKEMTGMh6SxTSYcUJl6,https://api.spotify.com/v1/tracks/5YAhKEMTGMh6SxTSYcUJl6,https://api.spotify.com/v1/audio-analysis/5YAhKEMTGMh6SxTSYcUJl6,257480,4
36,0.439,0.451,7,-10.31,1,0.0343,0.845,0.000186,0.104,0.133,117.99,audio_features,1j0ERvVFvw6Rj08mC1JzRC,spotify:track:1j0ERvVFvw6Rj08mC1JzRC,https://api.spotify.com/v1/tracks/1j0ERvVFvw6Rj08mC1JzRC,https://api.spotify.com/v1/audio-analysis/1j0ERvVFvw6Rj08mC1JzRC,201280,4
37,0.51,0.134,0,-15.982,1,0.0307,0.895,0.00692,0.0787,0.134,110.962,audio_features,7FCYixd46BlSiO2memrsPo,spotify:track:7FCYixd46BlSiO2memrsPo,https://api.spotify.com/v1/tracks/7FCYixd46BlSiO2memrsPo,https://api.spotify.com/v1/audio-analysis/7FCYixd46BlSiO2memrsPo,286400,4
38,0.277,0.361,8,-11.157,1,0.03,0.84,0.397,0.128,0.294,135.309,audio_features,2VUjaisIsYOXaajDPlfVLT,spotify:track:2VUjaisIsYOXaajDPlfVLT,https://api.spotify.com/v1/tracks/2VUjaisIsYOXaajDPlfVLT,https://api.spotify.com/v1/audio-analysis/2VUjaisIsYOXaajDPlfVLT,173240,4
39,0.483,0.0518,10,-12.862,1,0.0315,0.979,6.62e-05,0.0993,0.217,50.658,audio_features,2HyvRCnFAX65gKsxwyPV5O,spotify:track:2HyvRCnFAX65gKsxwyPV5O,https://api.spotify.com/v1/tracks/2HyvRCnFAX65gKsxwyPV5O,https://api.spotify.com/v1/audio-analysis/2HyvRCnFAX65gKsxwyPV5O,197902,4
40,0.564,0.207,3,-10.926,1,0.032,0.892,1.8e-06,0.102,0.0898,139.933,audio_features,68wibJU4yMiqNX79IaLAsN,spotify:track:68wibJU4yMiqNX79IaLAsN,https://api.spotify.com/v1/tracks/68wibJU4yMiqNX79IaLAsN,https://api.spotify.com/v1/audio-analysis/68wibJU4yMiqNX79IaLAsN,265840,4
41,0.579,0.161,9,-12.995,0,0.0311,0.941,0.0364,0.0825,0.135,111.067,audio_features,4axv2DlkRK7e4n4STim5Dd,spotify:track:4axv2DlkRK7e4n4STim5Dd,https://api.spotify.com/v1/tracks/4axv2DlkRK7e4n4STim5Dd,https://api.spotify.com/v1/audio-analysis/4axv2DlkRK7e4n4STim5Dd,219307,4
